id,annual_income,short_employee,emp_length_num,Debt-To-Income Ratio,revol_util,total_rec_late_fee,od_ratio,bad_loan,annual_income_log,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_small_business,purpose_vacation,purpose_wedding,term_36 months,term_60 months,last_delinq_none_0,last_delinq_none_1,last_major_derog_none_0.0,last_major_derog_none_1.0,last_major_derog_none_missing
11454641,100000,1,1,26.27,43.2,0.0,0.160624077,0,11.51293546492023,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
9604874,83000,0,4,5.39,21.5,0.0,0.810776768,0,11.326607934898927,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
9684700,78000,0,11,18.45,46.3,0.0,0.035147175,1,11.264476926102367,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
9695736,37536,0,6,12.28,10.7,0.0,0.534886729,1,10.533082392189554,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
9795013,65000,0,11,11.26,15.2,0.0,0.166500123,0,11.082157933374816,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
9856168,45600,1,0,1.5,14.6,0.0,0.30841038,1,10.727684925086583,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
9825536,45000,0,5,18.69,29.5,0.0,0.045062413,1,10.714439990727769,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
7450630,96000,1,1,6.41,55.9,0.0,0.238576126,0,11.472113887062386,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
9767996,60000,0,11,26.27,94.1,0.0,0.67483453,0,11.002116507732017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
9858164,130000,0,3,14.6,82.7,0.0,0.78238275,0,11.775297421715827,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
9828271,102000,0,11,23.9,57.0,0.0,0.695201635,0,11.532737896139919,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
9001565,200000,0,11,7.21,29.8,0.0,0.494031866,0,12.206077645517674,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
9808485,40800,1,1,26.21,28.4,0.0,0.524121363,1,10.616461869895815,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10064734,70000,0,11,11.23,84.3,0.0,0.298541245,0,11.156264806643742,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
10104967,80000,0,11,4.02,68.6,0.0,0.46310814,0,11.289794413577894,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
