id,grade,annual_income,short_employee,emp_length_num,home_ownership,Debt-To-Income Ratio,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,od_ratio,bad_loan,annual_income_log
11454641,A,100000,1,1,RENT,26.27,credit_card,36 months,1,missing,43.2,0.0,0.160624077,0,11.51293546492023
9604874,A,83000,0,4,OWN,5.39,credit_card,36 months,0,missing,21.5,0.0,0.810776768,0,11.326607934898927
9684700,D,78000,0,11,MORTGAGE,18.45,debt_consolidation,60 months,1,missing,46.3,0.0,0.035147175,1,11.264476926102367
9695736,D,37536,0,6,MORTGAGE,12.28,medical,60 months,0,missing,10.7,0.0,0.534886729,1,10.533082392189554
9795013,D,65000,0,11,MORTGAGE,11.26,debt_consolidation,36 months,0,missing,15.2,0.0,0.166500123,0,11.082157933374816
9856168,E,45600,1,0,MORTGAGE,1.5,medical,60 months,0,missing,14.6,0.0,0.30841038,1,10.727684925086583
9825536,B,45000,0,5,MORTGAGE,18.69,debt_consolidation,36 months,0,missing,29.5,0.0,0.045062413,1,10.714439990727769
7450630,D,96000,1,1,RENT,6.41,other,36 months,0,missing,55.9,0.0,0.238576126,0,11.472113887062386
9767996,G,60000,0,11,MORTGAGE,26.27,medical,60 months,0,missing,94.1,0.0,0.67483453,0,11.002116507732017
9858164,A,130000,0,3,MORTGAGE,14.6,medical,36 months,1,missing,82.7,0.0,0.78238275,0,11.775297421715827
9828271,E,102000,0,11,MORTGAGE,23.9,credit_card,60 months,0,missing,57.0,0.0,0.695201635,0,11.532737896139919
9001565,C,200000,0,11,MORTGAGE,7.21,credit_card,60 months,1,missing,29.8,0.0,0.494031866,0,12.206077645517674
9808485,C,40800,1,1,OWN,26.21,credit_card,36 months,1,missing,28.4,0.0,0.524121363,1,10.616461869895815
10064734,E,70000,0,11,MORTGAGE,11.23,home_improvement,60 months,0,missing,84.3,0.0,0.298541245,0,11.156264806643742
10104967,B,80000,0,11,RENT,4.02,debt_consolidation,36 months,0,missing,68.6,0.0,0.46310814,0,11.289794413577894
9924735,C,120000,0,4,MORTGAGE,14.02,credit_card,60 months,1,missing,71.2,0.0,0.984784293,0,11.695255355062795
10105115,B,37000,1,1,OWN,19.62,small_business,36 months,1,missing,68.5,0.0,0.501134921,1,10.518700218288165
10105178,C,90000,0,11,MORTGAGE,7.13,credit_card,60 months,0,missing,69.8,0.0,0.398072447,0,11.407576060361786
10075202,A,150000,0,4,OWN,7.57,debt_consolidation,36 months,1,missing,34.4,0.0,0.727905317,0,11.918397239722838
9654640,C,126000,0,9,MORTGAGE,11.48,debt_consolidation,60 months,1,missing,64.7,0.0,0.86333097,1,11.744045122410057
10175470,E,55200,0,4,MORTGAGE,22.83,medical,60 months,0,missing,42.1,0.0,0.026169537,0,10.918736348043124
8944858,D,75000,0,7,OWN,23.58,debt_consolidation,60 months,0,missing,51.6,0.0,0.290017181,0,11.225256725762893
10214568,C,30000,0,4,RENT,30.28,credit_card,36 months,0,missing,43.6,0.0,0.789069194,0,10.308985993422082
10075541,C,27000,1,1,RENT,18.09,debt_consolidation,36 months,0,missing,0.0,0.0,0.457119669,1,10.203629181337648
10075730,D,35400,0,11,MORTGAGE,15.73,credit_card,60 months,0,missing,36.6,0.0,0.00692848,0,10.474495347310453
10115896,C,33000,1,1,RENT,15.6,debt_consolidation,36 months,1,missing,46.7,0.0,0.419335457,0,10.404293143019792
10166062,F,70000,0,7,MORTGAGE,13.85,small_business,60 months,1,missing,61.2,0.0,0.324620837,0,11.156264806643742
10086164,A,37000,0,11,RENT,13.95,credit_card,36 months,1,missing,48.0,0.0,0.981251081,0,10.518700218288165
10126218,B,79000,1,1,MORTGAGE,19.87,debt_consolidation,36 months,0,missing,57.1,0.0,0.588231951,0,11.277215789596893
